post_title,post_excerpt,featured_image,post_author,post_type,purchase,price,rating,pros,cons,market,post_date,colors,height,width,thickness,dimensions,dimensions_after_folding,weight,manufacturing_materials,networks,internet_speed,slide_type,number_of_slides,other_in_networks_and_segments,screen_type,screen_size,refresh_rate,screen_resolution,screen_dimensions,screen_ratio,pixel_density,screen_brightness,flicker_rate,touch_rate,screen_protection,other_in_screen,screen_type_after_folding,screen_size_after_folding,refresh_rate_after_folding,screen_resolution_after_folding,screen_dimensions_after_folding,pixel_density_after_folding,screen_brightness_after_folding,flicker_rate_after_folding,touch_rate_after_folding,screen_protection_after_folding,other_in_screen_after_folding,processor,manufacturing_precision,number_of_cores,processor_frequency,graphics_processor,ram,internal_memory,storage_memory_type,ram_type,external_memory,antutu_score,operating_system,user_interface,back_camera_main,number_of_back_cameras,back_camera_resolution,back_camera_lens_slot,back_camera_sensors,other_in_back_camera,back_camera_zoom,back_camera_stabilizing,back_camera_slow_motion,back_camera_video_shooting,back_flash,back_flash_type,front_camera_resolution_in_back,other_in_front_camera_in_back,front_camera_main,number_of_front_cameras,front_camera_resolution,front_camera_lens_slot,other_in_front_camera,front_camera_video_shooting,front_flash,number_of_speakers,mm35_port,fm_radio,other_in_sound,wifi,bluetooth,gps,nfc,ir_blaster,usb_port,fast_charging,battery_charging_duration,wireless_charging,reverse_wireless_charging,battery_capacity,battery_type,battery_removability,sensors,security,protection,box_contents,other_in_other,rank_math_focus_keyword,post_category
Samsung Galaxy S2 Plus,الرام 1 جيجابايت يجعل الهاتف سريع نوعنا ما,https://mob4g.com/wp-content/uploads/2016/08/8630339513_18f87e48cb_o.jpg,samsung,هاتف,https://www.amazon.eg/s?k=Samsung+Galaxy+S2+Plus,,2.2,"دقة الكاميرا الخلفية ممتازة 8 ميجابكسل

الرام 1 جيجابايت يجعل الهاتف سريع نوعنا ما","كثافة البيكسلات في كل بوصة مخفضة مما يؤثر في نقاء و جودة الشاشة

المعالج ثنائي النواة يعتبر بطيئ",العالمي,2013-01-1 0:0,الأبيض و الأزرق ,125.3 مم,66.1 مم,8.5 مم,,,121 غرام,,3G,وضع 3G HSPA تصل الى 21.1/5.76 ميجابايت,Micro SIM<br>,شريحة واحدة,"GPRS<br>,EDGE<br>",Super AMOLED بلس,4.3 بوصة,,480x800 بكسل,,63.5 في المئة,217 بكسل في كل إنش,,,,,,,,,,,,,,,,,Broadcom BC28155,,ثنائي النواة,1.2 جيجاهرتز,Broadcom VideoCore IV,1 جيجابايت<br>,8 جيجابايت<br>,,,يدعم,,اندرويد,TouchWiz UI v5.0,8 ميجابكسل,,8 ميجابكسل,,,"1 / 3.2 ""حجم الاستشعار ووضع العلامات الجغرافية والتركيز باللمس والكشف عن الوجه وابتسامة",,,,دقة 1080P FHD,يدعم,,2 ميجابكسل ,,,,,,,,لا يدعم,,يدعم,يدعم,,"Wi-Fi 802.11 a/b/g/n, dual band","v3.0, A2DPR, aptX",يدعم,يدعم,لا يدعم,microUSB v2.0,لا يدعم,,لا يدعم,لا يدعم,1650 مللي أمبير,ليثيوم ايون,قابلة للإزالة,التسارع، جيروسكوب، التقارب، البوصلة,,,,"محرر الصور والفيديو
عارض المستندات","samsung galaxy s2 plus,- i9105p يدعم تقنية nfc,مواصفات samsung galaxy s2 plus,مواصفات - i9105p يدعم تقنية nfc,سعر samsung galaxy s2 plus,سعر - i9105p يدعم تقنية nfc,مميزات samsung galaxy s2 plus,مميزات - i9105p يدعم تقنية nfc,عيوب samsung galaxy s2 plus,عيوب - i9105p يدعم تقنية nfc","هواتف,هواتف سامسونج"
Samsung Galaxy S4 Duos,الرام 2 جيجابايت ممتاز جدا يمكن من لعب العاب  الكبيرة والتنقل بين التطبيقات بسرعة كبيرة جدا,https://mob4g.com/wp-content/uploads/2016/08/galaxy-s4-duos-i9502.jpg,samsung,هاتف,https://www.amazon.eg/s?k=Samsung+Galaxy+S4+Duos,,4.0,"الشاشة عالية الدقة 1080x1920 بكسل (FHD)

الشاشة كبيرة 5.0 بوصة

دقة الكاميرا الخلفية ممتازة جدا 13 ميجابكسل

كثافة البيكسلات في كل بوصة مرتفعة مما يجعل درجة الوضوح عالية جدا

الرام 2 جيجابايت ممتاز جدا يمكن من لعب العاب  الكبيرة والتنقل بين التطبيقات بسرعة كبيرة جدا

المالج ثماني النواة يجعل الهاتف سريع جدا ولا يتشنج

الهاتف يتوفر على شريحتين Micro-SIM هذا يمكنك تشغيل شبكاتي إتصال","الهاتف لا يدعم شبكات الجيل الرابع 4G وهذا امر سيئ

الهاتف لا يتوفر على راديو اف ام هذا أمر سيئ للذين يستمعون الى الرديو",العالمي,2013-03-1 0:0,الأبيض و الأسود ,136.6 مم,69.8 مم,7.9 مم,,,132 غرام,,3G,وضع 3G HSPA تصل الى 42.2/5.76 ميجابايت,Micro SIM<br>,شريحتين,"GPRS<br>,EDGE<br>",Super AMOLED,5.0 بوصة,,1080x1920 بكسل (FHD),,72.3 في المئة,441 بكسل في كل إنش,,,,Corning Gorilla Glass 3,,,,,,,,,,,,,Exynos 5410 Octa,,ثماني النواة,1.6 و 1.2 جيجاهرتز,PowerVR SGX544MP3,2 جيجابايت<br>,,,,يدعم,,اندرويد,TouchWiz UI,13 ميجابكسل,,13 ميجابكسل,,,"f/2.2 حجم فتحة العدسة
1 /3 ""حجم الاستشعار و 1.14 µm حجم البكسل و ضع العلامات الجغرافية والتركيز باللمس والكشف الوجه وابتسامة وتقنية HDR",,,,دقة 1080P FHD و تصوير فيديو مزدوج,يدعم,,2 ميجابكسل ,f/2.2 حجم فتحة العدسة و تصوير فيديو بدقة 1080P و مكلامات فيديو مزدوجة,,,,,,,لا يدعم,,يدعم,لا يدعم,,"Wi-Fi 802.11 a/b/g/n, dual band","v4.0, A2DP, EDR, LE, aptX",يدعم,يدعم,يدعم,"microUSB v2.0 (MHL 2 TV-out), USB Host",لا يدعم,,يدعم,لا يدعم,2600 مللي أمبير,ليثيوم ايون,قابلة للإزالة,التسارع، جيروسكوب، والتقارب، بوصلة، بروماتر، ودرجة الحرارة والرطوبة، اشارة اليد ,,,,"محرر الصور والفيديو
عارض المستندات
تخزين سحابي Dropbox (50 جيجابايت مجأنا)
S-Voice الأوامر الصوتية و الاملاء","samsung galaxy s4 duos,i9502,مواصفات samsung galaxy s4 duos,مواصفات i9502,سعر samsung galaxy s4 duos,سعر i9502,مميزات samsung galaxy s4 duos,مميزات i9502,عيوب samsung galaxy s4 duos,عيوب i9502","هواتف,هواتف سامسونج"
Samsung Galaxy S4,الرام 2 جيجابايت ممتاز جدا يمكن من لعب العاب الكبيرة والتنقل بين التطبيقات بسرعة كبيرة جدا,https://mob4g.com/wp-content/uploads/2016/08/5292013115024PM_635_samsung_galaxy_s_4.png,samsung,هاتف,https://www.amazon.eg/s?k=Samsung+Galaxy+S4,,4.0,"الشاشة عالية الدقة 1080x1920 بكسل (FHD)

الشاشة كبيرة 5.0 بوصة

دقة الكاميرا الخلفية ممتازة جدا 13 ميجابكسل

كثافة البيكسلات في كل بوصة مرتفعة مما يجعل درجة الوضوح عالية جدا

الرام 2 جيجابايت ممتاز جدا يمكن من لعب العاب الكبيرة والتنقل بين التطبيقات بسرعة كبيرة جدا

المعالج ثماني النواة يجعل الهاتف سريع جدا ولا يتشنج","الهاتف لا يدعم شبكات الجيل الرابع 4G وهذا امر سيئ

الهاتف لا يتوفر على راديو اف ام هذا أمر سيئ للذين يستمعون الى الرديو",العالمي,2013-03-1 0:1,الأبيض و الأسود والأزرق,136.6 مم,69.8 مم,7.9 مم,,,132 غرام,,3G,وضع 3G HSPA تصل الى 42.2/5.76 ميجابايت,Micro SIM<br>,شريحة واحدة,"GPRS<br>,EDGE<br>",Super AMOLED,5.0 بوصة,,1080x1920 بكسل (FHD),,72.3 في المئة,441 بكسل في كل إنش,,,,Corning Gorilla Glass 3,,,,,,,,,,,,,Exynos 5410 Octa,,ثماني النواة,1.6 و 1.2 جيجاهرتز,PowerVR SGX544MP3,2 جيجابايت<br>,,,,يدعم,,اندرويد,TouchWiz UI,13 ميجابكسل,,13 ميجابكسل,,,"f/2.2 حجم فتحة العدسة
1 /3 ""حجم الاستشعار و 1.14 µm حجم البكسل و ضع العلامات الجغرافية والتركيز باللمس والكشف الوجه وابتسامة وتقنية HDR",,,,دقة 1080P FHD و تصوير فيديو مزدوج,يدعم,,2 ميجابكسل ,f/2.2 حجم فتحة العدسة و تصوير فيديو بدقة 1080P و مكلامات فيديو مزدوجة,,,,,,,لا يدعم,,يدعم,لا يدعم,,"Wi-Fi 802.11 a/b/g/n, dual band","v4.0, A2DP, EDR, LE, aptX",يدعم,يدعم,يدعم,"microUSB v2.0 (MHL 2 TV-out), USB Host",لا يدعم,,يدعم,لا يدعم,2600 مللي أمبير,ليثيوم ايون,قابلة للإزالة,التسارع، جيروسكوب، والتقارب، بوصلة، بروماتر، ودرجة الحرارة والرطوبة، اشارة اليد ,,,,"محرر الصور والفيديو
عارض المستندات
تخزين سحابي Dropbox (50 جيجابايت مجأنا)
S-Voice الأوامر الصوتية و الاملاء","samsung galaxy s4,i9500,مواصفات samsung galaxy s4,مواصفات i9500,سعر samsung galaxy s4,سعر i9500,مميزات samsung galaxy s4,مميزات i9500,عيوب samsung galaxy s4,عيوب i9500","هواتف,هواتف سامسونج"
Samsung Galaxy S4 4G,الرام 2 جيجابايت ممتاز جدا يمكن من لعب العاب الكبيرة والتنقل بين التطبيقات بسرعة كبيرة جدا,https://mob4g.com/wp-content/uploads/2016/08/samsung-galaxy-s4-4g-16gb-i9515-white2.jpg,samsung,هاتف,https://www.amazon.eg/s?k=Samsung+Galaxy+S4+4G,,4.0,"الشاشة عالية الدقة 1080x1920 بكسل (FHD)

الشاشة كبيرة 5.0 بوصة

دقة الكاميرا الخلفية ممتازة جدا 13 ميجابكسل

كثافة البيكسلات في كل بوصة مرتفعة مما يجعل درجة الوضوح عالية جدا

الرام 2 جيجابايت ممتاز جدا يمكن من لعب العاب الكبيرة والتنقل بين التطبيقات بسرعة كبيرة جدا

المالج رباعي النواة يجعل الهاتف سريع

الهاتف يدعم شبكة الاتصالات الجيل الرابع 4G لتصفح أنترنت بسرعة كبيرة",الهاتف لا يتوفر على راديو اف ام هذا أمر سيئ للذين يستمعون الى الرديو,العالمي,2013-03-1 0:2,الأبيض والأسود و الأزرق و الأرجواني وبرأون الخريف و الوردي و البني,136.6 مم,69.8 مم,7.9 مم,,,132 غرام,,4G,"وضع 3G HSPA تصل الى 42.2/5.76 ميجابايت
وضع 4G LTE تصل الى 100/50 ميجابايت",Micro SIM<br>,شريحة واحدة,"GPRS<br>,EDGE<br>",Super AMOLED,5.0 بوصة,,1080x1920 بكسل (FHD),,72.3 في المئة,441 بكسل في كل إنش,,,,Corning Gorilla Glass 3,,,,,,,,,,,,,Qualcomm APQ8064T Snapdragon 600,,رباعي النواة,1.9 جيجاهرتز,Adreno 320,2 جيجابايت<br>,,,,يدعم,,اندرويد,TouchWiz UI,13 ميجابكسل,,13 ميجابكسل,,,"f/2.2 حجم فتحة العدسة
1 /3 ""حجم الاستشعار و 1.14 µm حجم البكسل و ضع العلامات الجغرافية والتركيز باللمس والكشف الوجه وابتسامة وتقنية HDR",,,,دقة 1080P FHD و تصوير فيديو مزدوج,يدعم,,2 ميجابكسل ,f/2.2 حجم فتحة العدسة و تصوير فيديو بدقة 1080P و مكلامات فيديو مزدوجة,,,,,,,لا يدعم,,يدعم,لا يدعم,,"Wi-Fi 802.11 a/b/g/n, dual band","v4.0, A2DP, EDR, LE, aptX",يدعم,يدعم,يدعم,"microUSB v2.0 (MHL 2 TV-out), USB Host",لا يدعم,,يدعم,لا يدعم,2600 مللي أمبير,ليثيوم ايون,قابلة للإزالة,التسارع، جيروسكوب، والتقارب، بوصلة، بروماتر، ودرجة الحرارة والرطوبة، اشارة اليد ,,,,"محرر الصور والفيديو
عارض المستندات
تخزين سحابي Dropbox (50 جيجابايت مجأنا)
S-Voice الأوامر الصوتية و الاملاء","samsung galaxy s4 4g,i9505,مواصفات samsung galaxy s4 4g,مواصفات i9505,سعر samsung galaxy s4 4g,سعر i9505,مميزات samsung galaxy s4 4g,مميزات i9505,عيوب samsung galaxy s4 4g,عيوب i9505","هواتف,هواتف سامسونج"
Samsung Galaxy S4 Active,الرام 2 جيجابايت ممتاز جدا يمكن من لعب العاب الكبيرة والتنقل بين التطبيقات بسرعة كبيرة جدا,https://mob4g.com/wp-content/uploads/2016/08/ae-ar_GT-I9295ZAAXSI_001_Front_gray_10029798094715_10029804012328.jpg,samsung,هاتف,https://www.amazon.eg/s?k=Samsung+Galaxy+S4+Active,,3.7,"الشاشة عالية الدقة 1080x1920 بكسل (FHD)

الشاشة كبيرة 5.0 بوصة

كثافة البيكسلات في كل بوصة مرتفعة مما يجعل درجة الوضوح عالية جدا

الرام 2 جيجابايت ممتاز جدا يمكن من لعب العاب الكبيرة والتنقل بين التطبيقات بسرعة كبيرة جدا

الهاتف يدعم شبكة اتصال 4G

الهاتف مقاوم للماء و الغبار لا مشكلة أن سقط في الماء",الهاتف لا يتوفر على راديو اف ام هذا أمر سيئ للذين يستمعون الى الرديو,العالمي,2013-06-1 0:0,رمادي و الأزرق والبرتقالي,139.7 مم,71.3 مم,9.1 مم,,,153 غرام,,4G,"وضع 3G HSPA تصل الى 42.2/5.76 ميجابايت
وضع 4G LTE تصل الى 100/50 ميجابايت",Micro SIM<br>,شريحة واحدة,"GPRS<br>,EDGE<br>",TFT,5.0 بوصة,,1080x1920 بكسل (FHD),,69.2 في المئة,441 بكسل في كل إنش,,,,Corning Gorilla Glass 2,,,,,,,,,,,,,Qualcomm APQ8064T Snapdragon 600,,رباعي النواة,1.9 جيجاهرتز,Adreno 320,2 جيجابايت<br>,16 جيجابايت<br>,,,يدعم,,اندرويد,TouchWiz UI,8 ميجابكسل,,8 ميجابكسل,,,وضع العلامات الجغرافية والتركيز باللمس والكشف الوجه وابتسامة وتقنية HDR و بانوراما,,,,دقة 1080P FHD,يدعم,,2 ميجابكسل ,تصوير فيديو بدقة 1080P,,,,,,,لا يدعم,,يدعم,لا يدعم,,"Wi-Fi 802.11 a/b/g/n, dual band","v4.0, A2DP, EDR, LE, aptX",يدعم,يدعم,يدعم,"microUSB v2.0 (MHL 2 TV-out), USB Host",لا يدعم,,لا يدعم,لا يدعم,2600 مللي أمبير,ليثيوم ايون,قابلة للإزالة,التسارع، جيروسكوب، والتقارب، بوصلة، بروماتر واشارة اليد ,,الهاتف مقاوم للماء و الغبار بمعيار IP67 (مقاومة الماء تصل الى 1 متر و 30 دقيقة تحت الماء),,"محرر الصور والفيديو
عارض المستندات
تخزين سحابي Dropbox (50 جيجابايت مجأنا)
S-Voice الأوامر الصوتية و الاملاء","samsung galaxy s4 active,i9295,مواصفات samsung galaxy s4 active,مواصفات i9295,سعر samsung galaxy s4 active,سعر i9295,مميزات samsung galaxy s4 active,مميزات i9295,عيوب samsung galaxy s4 active,عيوب i9295","هواتف,هواتف سامسونج"
Samsung Galaxy S4 mini,دقة الكاميرا الخلفية ممتازة 8 ميجابكسل تدعم تصوير الفيديو بدقة 1080P FHD,https://mob4g.com/wp-content/uploads/2016/08/Samsung-Galaxy-S4-Mini-2.jpg,samsung,هاتف,https://www.amazon.eg/s?k=Samsung+Galaxy+S4+mini,,2.9,"دقة الكاميرا الخلفية ممتازة 8 ميجابكسل تدعم تصوير الفيديو بدقة 1080P FHD

الرام 1.5 جيجابايت يجعل الهاتف سريع نوعنا ما

الجهاز يدعم شبكة الجيل الرابع فور جي 4G","كثافة البيكسلات في كل بوصة مخفضة مما يؤثر في نقاء و جودة الشاشة

المعالج ثنائي النواة يعتبر بطيئ",العالمي,2013-05-1 0:0,الأبيض و أسود و الأزرق والوردي والبرتقالي و البنفسجي,124.6 مم,61.3 مم,8.9 مم,,,107 غرام,,4G,"وضع 3G HSPA تصل الى 21.1/5.76 ميجابايت
وضع 4G LTE تصل الى 150/50 ميجابايت",Micro SIM<br>,شريحة واحدة,"GPRS<br>,EDGE<br>",Super AMOLED,4.3 بوصة,,540x960 بكسل,,66.7 في المئة,256 بكسل في كل إنش,,,,Corning Gorilla Glass 2,,,,,,,,,,,,,Qualcomm MSM8930AB Snapdragon 400,,ثنائي النواة,1.7 جيجاهرتز,Adreno 305,,8 جيجابايت<br>,,,يدعم,,اندرويد,,8 ميجابكسل و f/2.6 حجم فتحة العدسة ,,8 ميجابكسل و f/2.6 حجم فتحة العدسة ,,,العنونة الجغرافية و التركيز باللمس و كشف الوجه و تقنية HDR بانوراما,,,,دقة 1080P FHD,يدعم,,1.9 ميجابكسل ,,,,,,,,لا يدعم,,يدعم,يدعم,,"Wi-Fi 802.11 a/b/g/n, dual band","	v4.0, A2DP, EDR, LE, aptX",يدعم,يدعم,لا يدعم,microUSB v2.0,لا يدعم,,لا يدعم,لا يدعم,1900 مللي أمبير,ليثيوم ايون,قابلة للإزالة,التسارع، جيروسكوب، التقارب، البوصلة,,,,"محرر الصور والفيديو
عارض المستندات","samsung galaxy s4 mini,i9190, i9195, i9197, i257m,مواصفات samsung galaxy s4 mini,مواصفات i9190, i9195, i9197, i257m,سعر samsung galaxy s4 mini,سعر i9190, i9195, i9197, i257m,مميزات samsung galaxy s4 mini,مميزات i9190, i9195, i9197, i257m,عيوب samsung galaxy s4 mini,عيوب i9190, i9195, i9197, i257m","هواتف,هواتف سامسونج"
Samsung Galaxy Ace 3,الرام 1 جيجابايت يجعل الهاتف سريع نوعنا ما وهذا يعتبر ممتاز لهاتف بهذه المواصفات,https://mob4g.com/wp-content/uploads/2016/10/GT-S7275UWNBTU-343351-4.jpg,samsung,هاتف,https://www.amazon.eg/s?k=Samsung+Galaxy+Ace+3,,2.1,"الرام 1 جيجابايت يجعل الهاتف سريع نوعنا ما وهذا يعتبر ممتاز لهاتف بهذه المواصفات

الهاتف يدعم شبكة الاتصالات ثري جي 3G","كثافة البيكسلات في كل بوصة مخفضة مما يؤثر في نقاء و جودة الشاشة

المعالج ثنائي النواة يعتبر بطيئ

مساحة الذاكرة الداخلية للهاتف 4 جيجا فقط وهذه المساحة غير كافية

الهاتف يفتقر إلى مستشعر الإضاءة المحيطة لضبط سطوع الشاشة التلقائي",العالمي,2013-06-1 0:1,الأسود والأبيض والأحمر الداكن,121.2 مم,62.7 مم,9.8 مم,,,115 غرام,,3G,وضع 3G HSPA تصل الى 14 ميجابايت,Micro SIM<br>,شريحة واحدة,"GPRS<br>,EDGE<br>",TFT,4.0 بوصة,,480x800 بكسل,,59.9 في المئة,233 بكسل في كل إنش,,,,,,,,,,,,,,,,,Broadcom BCM21664,,ثنائي النواة,1.0 جيجاهرتز,Broadcom VideoCore IV,1 جيجابايت<br>,4 جيجابايت<br>,,,يدعم,,اندرويد,,5 ميجابكسل,,5 ميجابكسل,,,العنونة الجغرافية و كشف الوجه و ابتسامة و بانوراما,,,,دقة 720P مع 30 إطار في الثانية,يدعم,,يدعم VGA,,,,,,,,لا يدعم,,يدعم,يدعم,,Wi-Fi 802.11 b/g/n,"v4.0, A2DP",يدعم,يدعم,لا يدعم,microUSB v2.0,لا يدعم,,لا يدعم,لا يدعم,1500 مللي أمبير,ليثيوم ايون,قابلة للإزالة,التسارع و التقارب و البوصلة,,,,"محرر الصور
عارض المستندات","samsung galaxy ace 3,s7270,مواصفات samsung galaxy ace 3,مواصفات s7270,سعر samsung galaxy ace 3,سعر s7270,مميزات samsung galaxy ace 3,مميزات s7270,عيوب samsung galaxy ace 3,عيوب s7270","هواتف,هواتف سامسونج"
Samsung Galaxy Ace 3 Duos,الرام 1 جيجابايت يجعل الهاتف سريع نوعنا ما وهذا يعتبر ممتاز لهاتف بهذه المواصفات,https://mob4g.com/wp-content/uploads/2016/10/GT-S7275UWNBTU-343351-4.jpg,samsung,هاتف,https://www.amazon.eg/s?k=Samsung+Galaxy+Ace+3+Duos,,2.1,"الرام 1 جيجابايت يجعل الهاتف سريع نوعنا ما وهذا يعتبر ممتاز لهاتف بهذه المواصفات

الهاتف يدعم شبكة الاتصالات ثري جي 3G

الهاتف مزود بشريحتين Micro-SIM","كثافة البيكسلات في كل بوصة مخفضة مما يؤثر في نقاء و جودة الشاشة

المعالج ثنائي النواة يعتبر بطيئ

مساحة الذاكرة الداخلية للهاتف 4 جيجا فقط وهذه المساحة غير كافية

الهاتف يفتقر إلى مستشعر الإضاءة المحيطة لضبط سطوع الشاشة التلقائي",العالمي,2013-06-1 0:2,الأسود والأبيض والأحمر الداكن,121.2 مم,62.7 مم,9.8 مم,,,115 غرام,,3G,وضع 3G HSPA تصل الى 14 ميجابايت,Micro SIM<br>,شريحتين,"GPRS<br>,EDGE<br>",TFT,4.0 بوصة,,480x800 بكسل,,59.9 في المئة,233 بكسل في كل إنش,,,,,,,,,,,,,,,,,Broadcom BCM21664,,ثنائي النواة,1.0 جيجاهرتز,Broadcom VideoCore IV,1 جيجابايت<br>,4 جيجابايت<br>,,,يدعم,,اندرويد,,5 ميجابكسل,,5 ميجابكسل,,,العنونة الجغرافية و كشف الوجه و ابتسامة و بانوراما,,,,دقة 720P مع 30 إطار في الثانية,يدعم,,يدعم VGA,,,,,,,,لا يدعم,,يدعم,يدعم,,Wi-Fi 802.11 b/g/n,"v4.0, A2DP",يدعم,يدعم,لا يدعم,microUSB v2.0,لا يدعم,,لا يدعم,لا يدعم,1500 مللي أمبير,ليثيوم ايون,قابلة للإزالة,التسارع و التقارب و البوصلة,,,,"محرر الصور
عارض المستندات","samsung galaxy ace 3 duos,s7272,مواصفات samsung galaxy ace 3 duos,مواصفات s7272,سعر samsung galaxy ace 3 duos,سعر s7272,مميزات samsung galaxy ace 3 duos,مميزات s7272,عيوب samsung galaxy ace 3 duos,عيوب s7272","هواتف,هواتف سامسونج"
Samsung Galaxy Ace 3 4G,الرام 1 جيجابايت يجعل الهاتف سريع نوعنا ما وهذا يعتبر ممتاز لهاتف بهذه المواصفات,https://mob4g.com/wp-content/uploads/2016/10/hk-en_GT-S7275UWNTGY_008_white_white_thumb.jpg,samsung,هاتف,https://www.amazon.eg/s?k=Samsung+Galaxy+Ace+3+4G,,2.3,"الرام 1 جيجابايت يجعل الهاتف سريع نوعنا ما وهذا يعتبر ممتاز لهاتف بهذه المواصفات

الهاتف يدعم شبكة الاتصالات فور جي 4G","كثافة البيكسلات في كل بوصة مخفضة مما يؤثر في نقاء و جودة الشاشة

المعالج ثنائي النواة يعتبر بطيئ

الهاتف يفتقر إلى مستشعر الإضاءة المحيطة لضبط سطوع الشاشة التلقائي",العالمي,2013-06-1 0:3,الأسود والأبيض والأحمر الداكن,121.2 مم,62.7 مم,10 مم,,,119.5 غرام,,4G,"وضع 3G HSPA تصل الى 42.2 ميجابايت
وضع 4G LTE تصل الى 150/50 ميجابايت",Micro SIM<br>,شريحة واحدة,"GPRS<br>,EDGE<br>",TFT,4.0 بوصة,,480x800 بكسل,,59.9 في المئة,233 بكسل في كل إنش,,,,,,,,,,,,,,,,,MSM8930 Snapdragon 400,,ثنائي النواة,1.2 جيجاهرتز,Adreno 305 ,1 جيجابايت<br>,8 جيجابايت<br>,,,يدعم,,اندرويد,,5 ميجابكسل,,5 ميجابكسل,,,العنونة الجغرافية و كشف الوجه و ابتسامة و بانوراما,,,,دقة 720P مع 30 إطار في الثانية,يدعم,,يدعم VGA,,,,,,,,لا يدعم,,يدعم,يدعم,,Wi-Fi 802.11 b/g/n,"v4.0, A2DP",يدعم,يدعم,لا يدعم,microUSB v2.0,لا يدعم,,لا يدعم,لا يدعم,1800 مللي أمبير,ليثيوم ايون,قابلة للإزالة,التسارع و التقارب و البوصلة,,,,"محرر الصور
عارض المستندات","samsung galaxy ace 3 4g,s7275,مواصفات samsung galaxy ace 3 4g,مواصفات s7275,سعر samsung galaxy ace 3 4g,سعر s7275,مميزات samsung galaxy ace 3 4g,مميزات s7275,عيوب samsung galaxy ace 3 4g,عيوب s7275","هواتف,هواتف سامسونج"
Samsung Galaxy Note 3,كثافة البيكسلات في كل بوصة مرتفعة ( 386 بكسل) مما يجعل الشاشة عالية الوضوح ومشبعة بالألوان,https://mob4g.com/wp-content/uploads/2016/10/uk_SM-N7505ZGABTU_001_Front_white.jpg,samsung,هاتف,https://www.amazon.eg/s?k=Samsung+Galaxy+Note+3,,4.0,"الشاشة عالية الجودة ( FULL HD ) بدقة 1080x1920 بكسل

الشاشة كبيرة 5.7 بوصة
شاشة الهاتف محمية بطبقة زجاج مقاوم للخدش من نوع زجاج غوريلا جلاس 3

دقة الكاميرا الخلفية عالية 13 ميجابكسل تدعم تصوير الفيديو بدقة عالية 4K 2160P

كثافة البيكسلات في كل بوصة مرتفعة ( 386 بكسل) مما يجعل الشاشة عالية الوضوح ومشبعة بالألوان

ذاكرة الرام 3 جيجابايت مما يجعل الهاتف يشتغل بسرعة كبيرة جدا بدون تشنج

المعالج رباعي النواة 2.3 جيجاهرتز

الهاتف يدعم شبكات اتصالات الجيل الرابع 4G LTE (على حسب إصدار)

الهاتف مزود بشريحتين اتصال Micro-SIM في إصدار N9002 فقط

الهاتف مزود بقلم للمدخلات

يمكن تحديث نظام تشغيل الهاتف الى اندرويد إصدار 5 لوليبوب","الهاتف لا يدعم شبكات اتصالات الجيل الرابع 4G ( في بعض إصدارات) هذا الأمر سيئ لهاتف بهذه المواصفات القوية

الهاتف لا يتوفر على راديو اف ام هذا أمر سيئ للذين يستمعون الى الرديو",العالمي,2013-09-1 0:0,أسود و أبيض و الوردي و الأحمر و الذهبي مع الأسود والذهبي مع الأبيض,151.2 مم,79.2 مم,8.3 مم,,,168 غرام,,4G,"وضع 3G HSPA تصل الى  42.2/5.76 ميجابايت
وضع 4G LTE تصل الى 150/50 ميجابايت",Micro SIM<br>,شريحتين,"GPRS<br>,EDGE<br>",Super AMOLED,5.7 بوصة,,1080x1920 بكسل (FHD),,74.8 في المئة,386 بكسل في كل إنش,,,,حماية غوريلا جلاس 3,,,,,,,,,,,,,Qualcomm Snapdragon 800,,رباعي النواة,2.3 جيجاهرتز,Adreno 330,3 جيجابايت<br>,,,,يدعم,,اندرويد,,13 ميجابكسل و f/2.2 حجم فتحة العدسة,,13 ميجابكسل و f/2.2 حجم فتحة العدسة,,,"1/3"" حجم الاستشعار و 1.12 µm حجم البكسل و العنونة الجغرافية و كشف الوجه و التركيز باللمس و بانوراما و تقنية HDR",,,,دقة 2160P مع 30 إطار في الثانية و دقة 1080P و 30 إطار في الثانية,يدعم,,يدعم 2 ميجابكسل و f/2.4 حجم فتحة العدسة,تصوير فيديو بدقة 1080P و 30 إطار في الثانية,,,,,,,لا يدعم,,يدعم,لا يدعم,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band","v4.0, A2DP, EDR, LE",يدعم,يدعم,يدعم,"microUSB v3.0 (MHL 2 TV-out), USB Host",لا يدعم,,لا يدعم,لا يدعم,3200 مللي أمبير,ليثيوم ايون,قابلة للإزالة,التسارع و جيروسكوب و التقارب و البوصلة و بارومتر و استشعار درجة الحرارة والرطوبة و استشعار حركة اليد,,,الهاتف مزود بقلم للمدخلات,"تقنية ANT+
S-Voice الأوامر الصوتية و الاملاء
التخزين السحابي OneDrive ( حتى 50 جيجا مجأنا )
تقنية Air gestures
محرر الصور والفيديو
عارض المستندات","samsung galaxy note 3,اصدار n9002 يدعم شريحتي اتصال,مواصفات samsung galaxy note 3,مواصفات اصدار n9002 يدعم شريحتي اتصال,سعر samsung galaxy note 3,سعر اصدار n9002 يدعم شريحتي اتصال,مميزات samsung galaxy note 3,مميزات اصدار n9002 يدعم شريحتي اتصال,عيوب samsung galaxy note 3,عيوب اصدار n9002 يدعم شريحتي اتصال","هواتف,هواتف سامسونج"
